"age","gender","income","education","city_tier","monthly_spending","online_shopping_freq","brand_loyalty","price_sensitivity","product_quality","service_satisfaction","brand_awareness","ad_exposure","promotion_effectiveness","social_media_influence","purchase_intention","actual_purchase","customer_satisfaction"
22,"Male",5537,1,1,1180,7,8.58381013618782,5.00789478421211,4.24025435815565,2.61699185380712,5.87173687550239,7,6.15713941166177,6.1392400204204,6.27879538986102,1,8.51629362488165
24,"Male",7078,3,2,1347,1,8.44246508786455,2.17291596112773,2.12096612108871,7.80164423724636,6.31443762546405,9,8.10061372118071,3.8651088019833,2.60287462432035,0,1.05143751436844
33,"Male",5294,1,2,2455,2,5.843802804593,3.80662872223184,8.21447870926932,7.16486067860387,7.17546960734762,7,3.57588376151398,0.567816309630871,5.78581952612216,0,2.88513350440189
25,"Female",9881,3,1,2965,1,7.01926466077566,9.49842018540949,7.89229894359596,5.75092744478025,5.37264644447714,9,1.72934420639649,8.71182940667495,6.19953001313271,1,7.14157682447694
26,"Female",11361,2,1,2258,1,1.09806053340435,1.92177897552028,5.93294973834418,4.82577611017041,7.88407811964862,7,7.60104411048815,3.88025345047936,8.20296310530622,1,7.74824348837137
34,"Male",14382,2,1,2657,6,2.89269526023418,4.32196321897209,5.48046968155541,5.31037496821955,1.86500126356259,3,1.85959891183302,5.66591304959729,5.51879610919746,0,3.65898748650216
27,"Male",9098,4,2,2299,1,5.7733929506503,5.43155388208106,3.70449921744876,8.60234561027028,3.2533570046071,7,8.15022855764255,3.30259714508429,4.67730016080444,0,7.22481727018021
19,"Male",5376,5,2,5072,4,7.58738371310756,2.56671266863123,4.64847496757284,2.43531068274751,5.99351386073977,8,9.07534499419853,2.78370585758239,3.12161320720294,0,6.30154732288793
22,"Female",11073,4,3,2141,2,5.86399057880044,4.63406854541972,4.84472468262538,6.41797875566408,6.40996033581905,7,3.62520948750898,1.04271524120122,1.43894986005612,0,6.12302704295143
23,"Male",10714,2,1,2769,5,7.3593844473362,2.39500719821081,2.69192458875477,8.55248949490488,1.97390165482648,5,7.66775717027485,0.804364350624382,1.4774995604132,0,8.24290610780008
31,"Male",7285,5,3,2812,2,4.15200565475971,5.50596689339727,3.84801732562482,4.40067356824875,2.34363443194889,2,0.64185838913545,1.87982190866023,7.56258522217477,0,6.99963608779944
27,"Male",3326,4,2,4222,1,6.45395138533786,5.74603017885238,4.87817865610123,8.6512753891293,2.81563798221759,10,3.80048453109339,4.83744902303442,4.51414639496909,0,5.34266323898919
27,"Female",10284,1,3,2463,4,5.13105606194586,8.20840910077095,6.79824002669193,5.72184846643358,2.36075252247974,3,7.60923925321549,4.36476150527596,2.45463033593052,0,6.40985787333921
26,"Female",11387,2,3,1728,1,3.6074670497328,9.5977099519223,2.25094337575138,3.77065075421706,9.27219874830917,8,7.25226882612333,7.32637427048758,3.87182971791382,0,8.59408332733437
22,"Male",7115,1,1,4131,6,8.93337998539209,8.76703756162897,1.84158185939305,8.97305995016359,9.09126436710358,9,0.524280082900077,3.93040560185909,2.59023300575779,0,9.93340066634119
34,"Female",9609,3,3,4354,3,4.79970906861126,4.11277167731896,5.41387449274771,2.03344193403609,1.01002275920473,8,9.64998590527102,6.27979395911098,4.55827772404156,0,2.60503597627394
27,"Male",7172,2,1,1249,5,6.50953134754673,7.37126969732344,6.98511498328298,3.82755783130415,5.03028744808398,9,4.31748227216303,5.18516790587455,4.16053748081935,1,7.12003994127735
15,"Female",10047,5,3,2711,7,8.102621731814,4.61873244028538,5.02474795095623,5.60873311990872,6.62909022415988,10,5.74608854018152,0.812236431520432,1.53026699442342,0,5.59406899707392
29,"Female",7648,5,3,2901,4,1.41543833306059,6.9765423797071,8.47783404588699,7.53415928781033,3.12269940553233,8,2.4551001819782,8.83796830661595,3.15907527162481,1,3.21206066478044
23,"Female",6966,2,3,2959,1,8.69639257900417,5.81242219777778,4.62804373074323,8.81214750907384,3.91498665744439,4,3.43226157128811,6.62516203243285,4.12111320149011,0,2.41301646735519
20,"Female",8335,1,3,2573,7,2.06326285609975,4.5769162545912,3.57862421288155,3.34847780060954,7.72163836169057,9,5.59731935616583,4.78337722131982,3.39666543235551,1,8.64893878274597
24,"Male",7150,4,1,2121,1,6.17106916615739,5.25280666537583,8.80566558428109,9.63217020826414,3.40227406425402,4,2.80497504165396,2.89663427043706,4.52916326496697,0,9.12334179109894
20,"Male",6227,5,1,4072,7,0.13799550011754,2.65313562937081,2.30809268984012,9.92446659482084,6.91717930184677,7,3.57466649264097,5.66436149179935,3.43818476094998,0,7.33404016983695
21,"Male",7052,2,2,2680,5,2.09869290469214,2.29145338525996,3.41130415047519,3.60031386464834,5.96763541572727,2,1.24713861616328,5.03683125833049,-0.0109355306216745,1,8.07202531443909
22,"Female",7976,4,2,2972,6,7.27349871536717,6.2684030062519,2.58483499661088,8.90045061800629,8.01868932205252,3,9.34858520282432,3.29818033846095,3.37818724888708,0,4.97136842715554
17,"Male",8622,2,2,2247,2,7.74519211379811,8.38494972325861,5.02627323521301,5.06952599715441,3.83188884239644,9,5.8134342986159,8.93841723445803,1.58653495292848,0,1.99522271449678
29,"Female",12597,5,2,3934,2,3.71674848021939,1.89658398274332,7.54193313210271,4.55012790788896,7.70252873725258,3,4.94297782192007,5.22523947292939,3.76282990911163,0,6.36771739833057
26,"Male",3926,5,2,2405,4,5.59575619874522,1.09250432578847,8.25547867128626,9.60998607659712,3.67024029628374,4,6.95068080443889,6.31013548234478,6.07566905616879,1,7.66660781670362
19,"Female",7401,4,2,3244,3,6.34009988978505,3.85591259691864,2.35807293700054,8.67518801800907,6.67721865535714,2,5.31087302835658,6.20483073871583,5.5542728339365,0,2.37102850317024
31,"Female",9895,3,2,4017,1,8.7230852083303,1.63523221388459,9.16070628911257,4.09139528870583,1.74397761654109,1,5.68307880312204,7.01377294957638,9.04355572612762,1,6.96877675969154
